A,C,n,F0.5,F1.125,F1.75,F2.375,F3.0,F0.5_Error,F1.125_Error,F1.75_Error,F2.375_Error,F3.0_Error
2.0458869722796695,0.3342599373896471,0.4578205337263742,2.976772516297898,2.3213077584630475,2.1564350725230366,2.1329239850812036,2.2755615357047825,0.01,0.01,0.01,0.01,0.01
1.2545896426278569,-0.927622506544282,1.0034474434020528,2.0725343622995087,0.08605648145723926,-0.9103913262542577,-1.7116163567177027,-2.396820632702009,0.01,0.01,0.01,0.01,0.01
-0.16299872005894045,0.16925546373978229,1.9715936723504865,-0.5061778141851456,0.05102167988132443,0.19490387654228536,0.34038835440445775,0.4701024599026652,0.01,0.01,0.01,0.01,0.01
1.5339740241379358,2.7982370348659336,0.8967933182791289,4.271042667262331,4.489943713546285,5.828317195931553,7.340003018117866,9.008675209057095,0.01,0.01,0.01,0.01,0.01
-2.669218330565788,0.6475244832137284,1.511093691786021,-7.275079398837996,-1.4841312574054204,0.026064140487866816,0.855186993423524,1.4000813243604189,0.01,0.01,0.01,0.01,0.01
-1.1285573041983548,0.037620702648641924,2.154664615073429,-4.990203978072642,-0.8068378461029928,-0.30617976023606247,-0.12025630429725806,0.039588133421318866,0.01,0.01,0.01,0.01,0.01
-1.9158113445410134,2.363724802395124,2.0149124566855607,-6.514535786772901,1.1918256757483021,3.5204094220294664,5.314295194812553,6.8857937094932415,0.01,0.01,0.01,0.01,0.01
-2.8518356264746934,1.9278747241823178,1.772314490178281,-8.749909190307182,-0.18059542293537043,2.270634385097075,3.9191914752239896,5.370833051023011,0.01,0.01,0.01,0.01,0.01
2.6273896165430317,1.6541341267535632,2.280894328121206,13.602733489048338,3.915632229489534,3.6400365493124407,4.313459684424004,5.146358611493117,0.01,0.01,0.01,0.01,0.01
-2.687182911994741,2.323869707492407,2.0660023508815692,-10.112489653016235,0.45931697357929646,3.1902669875433083,5.045734498643587,6.721563514061883,0.01,0.01,0.01,0.01,0.01
-2.881699117243917,2.1302485539901737,0.5988765745017006,-3.3385235115075997,-0.27649346680457826,1.7154591609911916,3.3627514889391725,4.929890671127745,0.01,0.01,0.01,0.01,0.01
-0.10215478025279268,-1.3425202554896196,2.7109796770593153,-1.325080067348904,-1.541496077523256,-2.355689702776443,-3.2361656631959157,-4.0299519442780145,0.01,0.01,0.01,0.01,0.01
0.6027040211442873,-0.7186838335849259,0.4526099446809192,0.4485064403903563,-0.24644857981063775,-0.7906872947612956,-1.3454669547227922,-1.8345231392972061,0.01,0.01,0.01,0.01,0.01
-1.2554397407311235,-0.47104480569803275,1.9032796064268407,-4.9258209821058125,-1.5154713722303752,-1.2819443764859562,-1.3273143150419549,-1.592790563416728,0.01,0.01,0.01,0.01,0.01
-2.388835163713118,1.1380383565259242,1.7722518479162925,-7.572768833607149,-0.6507280966702244,1.0629783333290161,2.164157580220992,3.0674909750143904,0.01,0.01,0.01,0.01,0.01
-1.8046743889842696,-0.6064534129969736,1.5793273685593165,-5.680621287179183,-2.188120641066531,-1.8221217897869122,-1.9163874352259582,-2.159180032343889,0.01,0.01,0.01,0.01,0.01
-0.6349261969688436,-0.5586062663205027,2.892665119261309,-5.002776539433257,-1.0521384784817671,-1.0869302406445782,-1.4033582259201562,-1.6595810936707607,0.01,0.01,0.01,0.01,0.01
1.6190433658633747,1.5120987842899556,2.1742712122576275,8.066523886413789,2.9342411838356033,3.170052391024774,3.809323636994161,4.688061811482215,0.01,0.01,0.01,0.01,0.01
-2.9432309321244308,1.7462705836299088,2.4144178544108414,-14.862780517170371,-0.2650044621381206,2.3125690407583757,3.8136671287158443,5.06131318209642,0.01,0.01,0.01,0.01,0.01
-0.7004617266944333,1.8775237130266138,0.5814850682056679,-0.07599444705546766,1.5077295287951888,2.7685903855249165,4.0131075598617265,5.254795181271984,0.01,0.01,0.01,0.01,0.01
-0.82684509373974,2.210477424662968,1.871878894916342,-1.9223953727601284,1.8114361807445838,3.6223588459264744,5.109499337027648,6.568700480979926,0.01,0.01,0.01,0.01,0.01
2.196162075068801,-2.5186437085954507,0.18551228705084966,1.1966681974073912,-0.68273035762269,-2.380305478565992,-4.082494196043287,-5.744172814723828,0.01,0.01,0.01,0.01,0.01
2.625141355940487,-2.5648546008245994,0.23118006168542096,1.8387762615047945,-0.34927289274788414,-2.1740854630404156,-3.9057897905502834,-5.700962274074797,0.01,0.01,0.01,0.01,0.01
2.5952721246558887,-1.4740145854888156,0.3183128565911866,2.4986022039786735,0.8394814778264188,-0.44895797984012586,-1.5028388947472513,-2.59499528078909,0.01,0.01,0.01,0.01,0.01
